key,touch,hit,release
.,-66 286 2374 2321 -576 -1296 527 1632 896 1909 -3086 -6507 8609 17469 14662 3560 -32276 -30573 29519 22977 -31740 2108 -25993 -2791 30120 -20468 25989 -31694 -12405 26422 -18657 24441 -23751 1349 25825 -18645 26054 -31700 -6776 25144 -21026 27321 -25372 13289 -26544 25855 2658 -32576 11658 -6925 -12005 -12059 -4356 15883 -28347 15098 -28667 27534 9032 -24278 12475 -28510 32169 5372 -29725 25995 -13806 27646 -17110 23645 -28588 2020 32196 -21370 14998 -26820 18081 -25717 27184 -8783 31502 24143 -22222 28868 -1458 31379 -31600 -471 -32547 -20569 4969 19140 15723 -7800 -28380 -5945 18987 13706 1477 -8238 -20105 -6291 24810 21468 -4710 -29764 -11796 21898 19751 -8240 -26862 1702 27564 11608 -23509 -22554 21675 23511 -18389 -31490 3586 -26725 13997 -30748 -29526 15574 -27726 5016 30772 -28366 24793 -31058 -6032 28331 -18929 25236 31658 3539 -20818 -18047 2554 17293 8246 -8339 -15655 -13714 5726 26241 15085 -16842 -24692 1058 24320 8582 -17934 -15788 2119 14308 8130 -3252 -1333 680 -5484 -2853 6578 5328 -8741 -15673 3350 23614 9588 -24677 -27064 9780 -31865 11427,19140 15723 -7800 -28380 -5945 18987 13706 1477 -8238 -20105 -6291 24810 21468 -4710 -29764 -11796 21898 19751 -8240 -26862 1702 27564 11608 -23509 -22554 21675 23511 -18389 -31490 3586 -26725 13997 -30748 -29526 15574 -27726 5016 30772 -28366 24793 -31058 -6032 28331 -18929 25236 31658 3539 -20818 -18047 2554 17293 8246 -8339 -15655 -13714 5726 26241 15085 -16842 -24692 1058 24320 8582 -17934 -15788 2119 14308 8130 -3252 -1333 680 -5484 -2853 6578 5328 -8741 -15673 3350 23614 9588 -24677 -27064 9780 -31865 11427 -28374 -25538 15681 -32487 4127 -24813 -16590 7983 20153 5391 -15879 -12984 2928 9126 6654 1286 -10095 -15718 294 20601 13443 -13646 -21799 -1355 18310 9034 -16783 -16566 9886 18729 -1559 -15271 -2188 12234 6623 -7465 -8741 1470 4875 -796 -3766 2891 9339 1676 -10880 -6906 8753 11514 -4765 -16803 -4732 15500 16355 -918 -12280 -5660 6720 9309 517 -9617 -9314 2197 11584 7905 -2894 -6651 778 7400 3270 -6819 -9396 1138 11257 6327 -7659 -10886 3084 14255 6500 -8482 -11683 -488 8995 5348 -2115 -2681 -406 314 1804 2055 -1371,5440 7899 -1376 -8134 -4147 4611 6290 -860 -4646 -2159 1798 4481 2086 -3561 -5433 -242 5377 2929 -3739 -4953 589 4511 1677 -2892 -2707 2243 4958 1074 -4115 -2729 2663 1986 -3049 -4409 -1661 1207 974 327 223 -367 102 536 499 -90 -2197 -3424 273 4631 1169 -4876 -3594 2657 3815 -1706 -5050 -689 4066 1029 -3680 -2777 992 1942 -399 -2298 -1238 -292 -988 570 2019 -691 -2822 -1403 1016 1465 -696 -714 -1465 -8626 -12862 -1953 18198 24688 10087 -2372 6205 20639 12888 -13566 -29761 -24403 -8873 2913 5704 4962 7762 16012 26334 26590 10288 -9847 -17323 -9293 -383 -6858 -22425 -26354 -12536 4013 4804 -7068 -10012 4781 21286 21902 9163 -381 1503 4325 -1354 -9583 -11438 -6939 -3396 -4540 -6849 -6718 -4442 -3383 -5823 -8597 -7720 -5535 -5806 -8178 -8408 -5680 -4425 -6088 -6754 -1772 5537 8088 6044 5498 10933 18557 19748 14412 10055 9490 7386 -190 -7912 -9291 -5147 -3701 -7944 -7913 1450 11592 13422 6366 933 2418 2873 -1710 -8589 -12775 -11268 -8591 -9345 -11403 -10423 -6785 -4922 -4484
.,-23004 13902 24215 -9174 -17538 -3983 4592 14006 14919 879 -23745 -27243 8330 -31966 11804 -24578 -29071 2973 -32717 13180 -24285 -16326 3965 1032 2465 1757 -14000 -5837 16407 6700 -9608 -9164 -5113 3319 16620 11475 -14400 -22622 -9947 6563 23686 16485 -16833 -29858 2537 -30206 17339 -19250 -26315 -1453 20862 2926 -17904 -1232 21300 6706 -24173 -14027 16652 17110 -8433 -25015 -9245 20875 19465 -7801 -17159 -8390 8379 16874 524 -16889 -14395 3571 14747 7831 -6799 -15111 -6594 10078 12469 -1082 -10571 -10635 -2679 10159 14187 -145 -17887 -13101 9361 16986 -347 -16746 -11662 7656 14391 -487 -13352 -6519 8805 8942 -3976 -8265 -2935 2707 5264 4093 130 -7799 -11627 -254 13288 10900 -5347 -17673 -7081 13655 13863 -2764 -11960 -4134 6057 5621 168 -3694 -1560 -108 -2041 1346 3421 -93 -4476 -4344 6495 11240 -1868 -12854 -5981 8275 10221 -2047 -13080 -6444 10878 11104 -4176 -8906 934 7411 -103 -8022 -3292 4514 5675 -94 -6176 -2685 6401 8020 -741 -8472 -4948 4791 7422 -164 -7237 -2776 7681 8394 -2398 -9371 -2418 5679 3652 -2438,-2028 254 2134 423 -1950 -1801 401 1998 886 -1980 -2817 -196 2180 693 -2207 -2328 -24 1604 446 -2037 -2397 -207 1585 620 -1519 -2061 -725 1237 1442 -738 -2251 -1001 1145 1106 -618 -1539 -998 867 1471 -1600 -2493 1592 3156 -494 -4765 -4530 2036 6053 -899 -8825 -4562 5232 7311 2567 -2387 -3506 218 2596 -213 -3166 -4123 -3265 482 2856 1459 -569 -2344 -1923 2978 5195 -691 -5815 -3288 2525 4617 -157 -7925 -10118 -4087 4372 9663 9216 4156 112 3210 10541 8595 -7896 -20836 -14325 280 5678 593 -1949 6260 14724 13266 6392 931 -1917 -3854 -5538 -6520 -7400 -7703 -7052 -4442 -75 2053 358 -1151 2375 8155 9548 5303 895 879 1052 -1814 -4029 -4225 -5401 -6897 -4824 -1931 -2285 -4142 -4823 -3313 -1706 -1717 -2957 -3418 -2157 -1935 -2780 -2941 -2038 -1209 -1232 -277 2615 4747 6144 6126 4031 5492 8528 9512 5799 -1068 -2341 -369 -1477 -3794 -4135 -3516 -1064 4204 6114 3358 1610 1966 4122 5681 1161 -7155 -9827 -4039 1533 -251 -7730 -10781 -3361 4367 2646,5678 593 -1949 6260 14724 13266 6392 931 -1917 -3854 -5538 -6520 -7400 -7703 -7052 -4442 -75 2053 358 -1151 2375 8155 9548 5303 895 879 1052 -1814 -4029 -4225 -5401 -6897 -4824 -1931 -2285 -4142 -4823 -3313 -1706 -1717 -2957 -3418 -2157 -1935 -2780 -2941 -2038 -1209 -1232 -277 2615 4747 6144 6126 4031 5492 8528 9512 5799 -1068 -2341 -369 -1477 -3794 -4135 -3516 -1064 4204 6114 3358 1610 1966 4122 5681 1161 -7155 -9827 -4039 1533 -251 -7730 -10781 -3361 4367 2646 -4867 -5911 3021 8978 4551 -637 1645 5149 762 -5447 -4427 -963 -1648 -4353 -4211 -1389 198 -535 -594 1505 3622 2366 -739 -1908 -1517 -585 -354 -1573 -2402 -1788 675 3309 3305 2176 1185 1741 3315 2274 679 -382 -1504 -971 440 1294 250 -1503 -1688 -82 2480 3249 2000 1162 1926 3951 4442 1785 -977 476 4182 3815 -42 -1160 2365 4892 2827 -875 -2914 -1231 796 -1251 -3938 -3034 -172 1001 249 -733 -800 116 1118 1277 272 -772 -530 527 1503 753 -1506 -1617 314 421 -1216
.,161 288 190 -39 433 1093 1292 -329 -953 657 1999 503 -1784 -1258 269 937 797 -358 -554 473 795 647 613 1242 748 -1230 -961 919 512 -132 -153 -565 192 -380 -922 1668 2579 71 -1620 -834 1531 2270 -391 -3161 -1471 1785 1990 -77 -3567 -1460 4926 6851 -1491 -6813 5519 16580 16186 -6919 -32364 -18667 28788 31716 -23271 -31956 9307 -25517 8693 28094 -31536 5095 -30148 18343 -31724 -28072 20753 -23862 12161 27911 -23941 20517 -30323 16616 -30207 -31289 19635 -24034 15202 -30186 32719 10588 -27423 12109 -28766 32237 206 31316 24340 -5068 -21118 -24986 -1057 31390 12910 -23995 -31597 -3897 32296 31197 -7653 28252 -21875 20372 -27078 8841 -31009 30813 -499 31735 30906 -1173 31214 -26921 13598 -32127 3956 -28677 -16745 16202 30997 3707 31880 -29410 11129 29250 7048 -14064 -24729 -15037 16031 27409 10359 -12911 -28337 -11543 23784 29387 -8439 28637 -16669 20695 28125 3040 -23677 -30100 938 -25780 14286 32704 -27976 13607 -31066 6988 -23667 -25447 3808 30786 7310 -26199 -4890 25670 8599 -19123 -8854 10053 6475 -1762,20372 -27078 8841 -31009 30813 -499 31735 30906 -1173 31214 -26921 13598 -32127 3956 -28677 -16745 16202 30997 3707 31880 -29410 11129 29250 7048 -14064 -24729 -15037 16031 27409 10359 -12911 -28337 -11543 23784 29387 -8439 28637 -16669 20695 28125 3040 -23677 -30100 938 -25780 14286 32704 -27976 13607 -31066 6988 -23667 -25447 3808 30786 7310 -26199 -4890 25670 8599 -19123 -8854 10053 6475 -1762 -3764 -5042 -5906 1201 11250 13451 -2193 -20056 -12013 13081 18823 -1019 -15632 -12567 6067 18126 7099 -10104 -18601 -6592 16422 20577 -4028 -26766 -13199 14791 24023 5997 -19714 -17448 6970 16488 4983 -4503 -9415 -7540 4238 10683 328 -11489 -2489 9784 -317 -10595 1033 10744 1186 -12322 -9054 6754 10683 -287 -9278 -6170 6153 9777 -2927 -11576 -1513 11631 7769 -8630 -12518 3864 15431 5572 -11215 -10869 5673 11960 870 -8931 -4035 3582 2164 -928 1052 4950 1625 -5909 -3977 4301 3732 -2773 -3876 4188 8599 -2432 -10437 -118 11400 4434 -10933 -10794 5626 17152 6976 -12604 -12090 5726 14057 3072 -13533 -10802 8093 12093 -2087 -9835 -434 10866 6223,8 680 605 -431 -919 350 1040 124 -424 -163 511 878 175 -691 -452 468 415 -518 -682 177 827 338 -628 -777 -149 471 613 28 -709 -838 -341 620 1179 243 -1224 -1291 15 1115 376 -1253 -950 652 1010 -538 -1856 -697 984 884 -376 -1110 -450 141 498 832 170 -492 -677 -507 -195 77 468 187 -588 -624 -356 -443 -137 279 149 -146 -493 34 635 -1111 -62 2420 -1707 -7726 -8182 918 15191 17391 749 -11285 1986 18123 9632 -11977 -22525 -12263 7301 11671 -253 -5159 3547 13919 17811 9597 -4062 -10002 -8090 -3518 -1683 -5578 -12528 -12932 -2885 6383 5234 -1155 -2206 3847 10093 9110 3233 524 -225 -2907 -5543 -4862 -2143 -3555 -5611 -2841 -4 -253 -3173 -5503 -3843 -2243 -4628 -6365 -4762 -3888 -3101 -1522 -2212 -3159 -844 3321 5686 5062 2930 2577 7770 12594 7839 1654 3275 7247 6412 -3416 -11409 -6265 2966 3078 -5292 -6586 3341 11545 9093 1402 -2993 -1854 2169 137 -7874 -10241 -6209 -3089 -1290 -609 -2380 -5543 -4733 1287
.,133 -178 -580 -615 -243 163 -165 -885 -868 -456 348 605 -624 -1155 -743 -117 64 -611 -723 -520 722 1263 -566 -1503 -451 344 560 306 -1678 -2932 -1841 481 1748 808 -462 -831 -417 -723 -855 461 801 215 -766 -1783 -638 1609 2240 176 -2512 -1754 1023 1174 -736 -1566 10 1311 227 -1305 -963 -1699 290 2273 968 8966 10660 2341 -20461 30973 6170 -25879 20944 -20846 27099 -12686 21063 -26563 18096 -27048 25402 -539 -25912 31549 -13718 23736 -16160 24720 -23512 14608 32719 26333 -623 -26801 -31189 -10472 23008 -24691 24053 -26969 2678 29987 -25330 15424 -30840 23745 -8831 31149 -14053 29413 -31638 -2842 28916 -21859 22044 -27917 7389 -31755 -31422 18597 -31549 -10494 -26309 -11468 889 18913 27740 1464 -32531 -23687 17648 -26210 17060 -25937 28740 634 -27418 16064 -27798 28994 2422 -29382 21779 -17127 32350 -336 27312 18799 -15265 -23058 7534 15371 5812 1275 -14247 -21793 854 21897 18454 -3728 -20029 -16936 1479 22309 8595 -21727 -9188 17313 7836 -4608 -2104 -2550 -6412 6712 19212 -5025 30183 -16733,-31755 -31422 18597 -31549 -10494 -26309 -11468 889 18913 27740 1464 -32531 -23687 17648 -26210 17060 -25937 28740 634 -27418 16064 -27798 28994 2422 -29382 21779 -17127 32350 -336 27312 18799 -15265 -23058 7534 15371 5812 1275 -14247 -21793 854 21897 18454 -3728 -20029 -16936 1479 22309 8595 -21727 -9188 17313 7836 -4608 -2104 -2550 -6412 6712 19212 -5025 30183 -16733 30389 30581 -11943 28006 -3084 -28401 25953 -18995 28367 -1911 -30780 24059 -27986 -25508 18144 31424 5354 -30088 -20537 16890 28731 1118 -31089 -18423 26208 30817 -6545 -32108 -12035 22029 18641 -6712 -16558 -6335 11058 13811 -2529 -8685 1237 3950 -847 598 2079 -712 -4173 -3643 5204 12060 4056 -12586 -15761 3856 23123 11799 -17385 -23087 730 22033 14606 -12979 -21838 1452 19655 8242 -10746 -11018 3241 9462 -943 -7167 2839 6296 -3338 -4849 4306 8005 -3066 -12769 -882 14896 8367 -11097 -13622 4525 16313 6362 -9822 -11125 2455 12681 4488 -10289 -9186 6208 13968 5573 -5873 -7206 2250 7730 -1018 -8970 -3102 7420 9732 3426 -2990 -3851 1269 7369 5346 -5290 -9934 -54 9991,2384 494 -1419 -1106 431 1559 1052 -199 -611 -593 341 1701 1287 -664 -1852 -506 2025 2267 -467 -2571 -1311 1541 2474 -37 -2714 -1631 1915 3207 315 -2673 -1553 1510 2271 404 -1502 -1377 -117 549 478 -91 -949 -1179 78 1539 960 -866 -1466 -133 1241 1217 -242 -1746 -1239 905 2044 361 -1771 -1173 1099 1541 -90 -1347 -838 554 944 214 -1167 -3628 -5417 -2199 5262 9569 8897 6407 4128 5582 5532 -1784 -7608 -6822 -8407 -11861 -3492 11270 13339 7385 7310 11934 14658 6690 -8163 -13655 -9035 -5837 -6920 -10210 -10522 -3427 1077 -1008 1029 7412 7455 3182 3867 7645 7119 989 -5559 -7995 -5429 -1617 -1593 -4132 -3124 -1863 -4255 -3217 1185 -2279 -8708 -5957 -544 39 -8049 -14330 -7539 2288 3053 -6025 -5478 8067 13875 7840 3568 7724 11841 11633 8571 2393 -344 911 -1405 -3451 -3523 -5089 -7530 -5652 3728 9562 6253 1520 171 3683 5661 -629 -10061 -11525 -2877 902 -3784 -8680 -7969 -4120 -3064 569 2940 99 -1155 2715 7054 5759 1932 -1241 -572 2594
.,-25439 7346 -32362 16900 -23159 -32738 4127 -27551 16045 -28111 -22598 4707 13627 6452 -9124 -13846 1335 13162 5120 -4736 -2695 674 1522 6276 168 -26664 -21825 24841 -32375 -6814 29221 -16566 25015 -29546 9572 -30586 31257 10491 -28625 11148 -30966 -26760 13440 32209 16553 -20337 -32571 -495 31869 18370 -22368 -31754 2832 27891 16669 -5428 -22481 -14527 11166 17385 5703 -7893 -15511 -8723 9886 22720 8235 -17949 -17322 2899 13694 8192 -5273 -12192 -5946 8218 12585 -2283 -11909 -2490 8673 7709 -3943 -13174 -5655 12831 12267 -10884 -16735 1908 11365 6118 -1551 -8446 -7349 3980 8563 -808 -4798 605 -148 -1707 5798 4999 -6844 -7814 298 4436 5252 1655 -6562 -4166 7910 6777 -3961 -5020 971 1868 -1655 -2154 357 3848 5903 1962 -2627 -958 4187 3351 -5428 -6923 3023 8361 2354 -3709 -275 6633 5610 -2415 -5854 -311 3936 358 -2987 44 4980 2924 -2613 -542 3748 1592 -1915 -2676 -2340 727 4831 4195 -1100 -4479 15 6104 4085 -3843 -6733 1595 8165 2066 -4847 -1396 4549 2479 -2373 -2140 1314 3693 1766 -3258,-817 1148 1290 -12 -387 393 1071 330 -1058 -743 928 1265 -264 -1051 -74 1130 1709 1069 -829 -1339 566 1752 1111 411 77 -26 248 833 557 -86 906 1283 162 -459 510 1576 389 -724 202 1554 1517 72 -1024 -365 979 133 -857 -691 2449 3877 8 -1476 388 2159 475 -3254 -2978 2426 5753 2245 -4258 -6604 -366 7497 6097 -3429 -6709 2089 6378 877 -2520 559 1189 -2599 -235 5158 1689 -6067 -2881 7281 4628 -8034 -7730 6807 11348 -2320 -11485 -1436 11526 7121 -6085 -6509 2671 3905 -193 -1 615 -1891 -2529 2089 4565 1166 -1654 -1358 -1810 -1377 3337 5641 433 -6118 -6183 1118 7729 4356 -4442 -6814 -80 6787 5107 -1123 -4855 -2647 4033 5492 -1242 -6583 -3252 4304 6486 -242 -7234 -4034 4020 5332 482 -3032 -2568 1177 4245 2196 -1023 -1631 -1500 -522 1240 2265 1278 -1601 -3075 93 3639 2151 -1196 -1956 -494 1137 2391 1473 -1099 -1848 -1060 310 1646 978 -1342 -2186 -605 1983 3021 988 -1284 -1307 700 2139 123 -3225,1256 462 -79 560 145 -757 865 2153 -61 -1856 -241 2105 2071 183 -1227 -840 1352 1615 -2416 -4824 -492 6441 8923 6243 2705 1922 5030 6873 686 -9628 -12980 -5696 3578 5684 1303 -1020 5069 14410 15568 5517 -5837 -8619 -2340 2052 -4640 -13509 -14197 -7079 2060 5565 583 -5532 -2640 6847 11996 8952 1462 -2727 -1847 -1428 -1453 -2390 -5148 -7721 -5568 1976 4327 -2623 -7493 -4028 838 2381 -950 -6348 -10047 -7917 -1141 -376 -3400 -4879 -5611 -2944 3777 10880 10867 1775 -3042 8972 23997 14842 -8665 -10290 10282 15786 -5529 -19552 -7799 6916 3524 -8186 -4650 9174 10936 2562 -3311 -3939 -624 2437 14 -8206 -14398 -8168 3505 2188 -9377 -11456 1236 11049 5150 -2554 1116 8710 7016 -1720 -3081 1846 1058 -4756 -7754 -5005 801 2393 -1228 -2599 1845 6967 5758 74 -3897 -2101 3591 1707 -6397 -8825 -4323 1532 1039 -3570 -2684 1720 4784 6554 4214 1029 1150 1860 1850 -70 -2955 -3633 -2933 -2203 -366 943 176 267 3088 4098 2516 2316 2365 1592 416 210 1366 595
.,-487 -709 -762 -455 -493 -680 -330 -330 -584 -804 -652 -375 -218 -600 -1275 -1002 68 417 -148 -1244 -1601 41 122 -715 -629 437 225 -2106 -1051 946 1026 -1137 -3016 -1758 -173 1219 -476 -3148 -1053 2375 2184 -1505 -2924 -703 1046 754 -1025 -2418 -1338 1337 2035 401 -801 -446 24 874 1653 -267 -2820 -1570 675 787 730 -660 3161 9740 15380 2169 -28720 31733 8112 -25904 10021 -30525 -29433 8603 -27045 14095 -31050 -30866 11239 -24796 -2103 24057 -23050 21373 -28177 -3053 32277 -30351 5891 -26128 13644 -28880 29733 -2732 -30711 30588 -5073 26623 -15351 -27865 19439 -25686 26123 4656 -23649 6254 -24537 -24141 2758 24514 11817 3721 3434 -16984 -27555 3613 -31061 15076 -30879 -30081 14526 -24541 12000 30653 27243 -2474 -30507 -31290 -5297 30330 -17463 22600 30093 -5853 30434 -21905 19184 -28312 13266 -28518 31744 8929 -28085 24718 -14237 25000 -9265 -29600 21353 -20824 31417 -6312 27286 13485 -16389 -16040 1230 8237 -1209 -2029 6139 399 -16957 -9777 20651 16947 -10735 -18161 2001 26088 4471 -31424 -17392 23155,26123 4656 -23649 6254 -24537 -24141 2758 24514 11817 3721 3434 -16984 -27555 3613 -31061 15076 -30879 -30081 14526 -24541 12000 30653 27243 -2474 -30507 -31290 -5297 30330 -17463 22600 30093 -5853 30434 -21905 19184 -28312 13266 -28518 31744 8929 -28085 24718 -14237 25000 -9265 -29600 21353 -20824 31417 -6312 27286 13485 -16389 -16040 1230 8237 -1209 -2029 6139 399 -16957 -9777 20651 16947 -10735 -18161 2001 26088 4471 -31424 -17392 23155 32081 2431 -29882 -28260 8423 -30261 21930 -13856 -31566 -5299 28238 22632 -8659 31542 -17703 23495 32418 -2421 -31904 -9807 27648 27315 -9875 32238 -15951 19607 27142 -3638 -23124 -7970 16951 14238 -7440 -13378 -3782 5005 5510 -15 -4082 508 11267 8995 -5036 -6720 1709 366 -2068 2975 1396 -4805 -3159 5664 9960 3481 -8857 -9428 6350 14175 -689 -14891 -6483 7797 9220 259 -8099 -7574 3261 12388 4918 -9716 -9315 3150 10318 5740 -6623 -9094 4636 12060 -535 -10489 -2501 6633 6932 484 -4475 -1506 2647 4851 5165 -42 -2986 1638 1971 -2308 -2481 1124 2256 -1009 405 6186 5957 1302 -2823 -4736,-2666 2134 6118 1853 -4386 -4005 1188 4697 4310 75 -4061 -3044 821 4426 5159 172 -6135 -4192 5191 8016 -954 -7817 -2124 5987 4910 -1424 -4715 -2067 3315 4287 546 -2866 -2632 1022 3515 1669 -1970 -2767 493 3340 1181 -1545 -152 1280 -532 -2177 219 2817 733 -2179 -1237 2008 2876 410 -1645 -787 1566 2073 -163 -1680 -1521 -1752 -1015 1886 5462 6274 4267 2293 1985 3498 2754 -1622 -6298 -6823 -2365 1775 2661 2658 4189 7051 8799 6334 1596 -1673 -3242 -3523 -4297 -7153 -9267 -6835 -1770 765 -118 -811 1508 5051 6258 4173 1686 829 330 -960 -2743 -3333 -2466 -2038 -2142 -921 190 -548 -1464 -1039 -760 -2289 -4344 -4897 -3844 -3314 -4018 -5383 -5299 -2513 383 1477 875 486 2530 6341 8463 7186 4633 3699 4878 4960 1964 -1678 -3772 -4039 -2863 -1928 -2073 -1660 147 2668 3753 2173 13 -629 -235 -1463 -4261 -5770 -4984 -3480 -3237 -3984 -3961 -1700 1448 2919 2576 2047 2120 2190 2206 1982 694 -1520 -3486 -3803 -2671 -1487 -678 -1327 -1884 250
.,18312 14705 -13771 26876 -14105 29294 -28948 -4744 25634 -25717 19024 -25272 7060 -30607 28621 2203 -24510 3194 28802 -32012 1816 -29985 30467 -4168 30078 -28167 11274 -28837 22354 -21402 28331 3789 -29698 29908 -6940 31128 -31753 3325 -27190 19505 -23682 29500 131 -28179 26851 -18413 23171 -13365 -32520 -25694 834 26156 31920 11084 -22159 24242 -21793 21616 -14116 -31506 29638 -14752 26911 -4731 -32723 -32282 4397 32511 -30979 7244 -28509 19095 -24440 30634 -752 -29553 31518 -12258 24750 -17191 32202 29903 -14131 29277 -20484 22102 -28653 5351 32760 -31501 14195 -31411 9988 -16331 -23786 -9877 16490 25923 -5101 -28380 -11870 17226 24892 4677 -23993 -27754 8562 31958 7502 -25616 -25598 2722 24233 16761 -12759 -25370 670 23710 6242 -17074 -16180 -5881 6372 12605 142 -16943 -10201 15179 22190 356 -21317 -14276 12784 14827 -11844 -17241 6163 21845 8153 -13349 -14144 -13 13680 10686 -7885 -20503 -7694 16970 20405 -3352 -24056 -11198 16087 19298 -4470 -22400 -8767 15410 12478 -7974 -11273 2570 10118 4920 -4874 -10427 -1673 10003 3859 -8606 -6525 1119 1741 2745 4468 -50,-12759 -25370 670 23710 6242 -17074 -16180 -5881 6372 12605 142 -16943 -10201 15179 22190 356 -21317 -14276 12784 14827 -11844 -17241 6163 21845 8153 -13349 -14144 -13 13680 10686 -7885 -20503 -7694 16970 20405 -3352 -24056 -11198 16087 19298 -4470 -22400 -8767 15410 12478 -7974 -11273 2570 10118 4920 -4874 -10427 -1673 10003 3859 -8606 -6525 1119 1741 2745 4468 -50 -5883 -6503 430 10098 5762 -11261 -14111 2565 15266 7920 -6743 -8073 204 5603 5021 -2328 -8826 -1169 12118 9080 -8556 -15823 1497 18244 10039 -9833 -19604 -7989 14446 19061 -2542 -18545 -7394 11568 14200 2041 -11421 -13492 2592 14895 6379 -5700 -4882 3225 8645 7134 -2507 -11003 -6240 5737 9172 2943 -2667 -3622 -687 3733 3911 -1428 -6204 -6040 -324 5791 4532 -2415 -4980 2354 8039 887 -8855 -5224 5174 7516 869 -6010 -3848 4674 9702 4865 -5862 -9267 -697 8004 5756 -2597 -6001 -866 5466 3620 -3447 -5559 -200 4289 1755 -3324 -3503 602 2339 819 -605 -211 960 967 -112 189 2079 1424 -1258 -1384 1005 1689 -30 -1090 -153 1861,-2554 -1235 1584 2385 113 -2224 -1592 737 1929 1042 -865 -1895 -597 1514 1578 -309 -1611 -1101 523 1907 1223 -1020 -2019 -400 1884 2069 -431 -2596 -1283 1876 2821 132 -2513 -2005 714 2332 631 -1757 -1779 -15 1523 1294 -416 -1506 -739 641 1317 338 -1446 -1207 515 981 256 -443 -465 -137 -239 197 1374 1005 -1480 -2818 -846 2840 2791 -2422 -5384 -1072 4647 4447 289 -2740 -1743 1458 2163 -698 -5009 -7651 -5012 4157 12900 12126 3394 -1712 3451 10494 6207 -8577 -17936 -12520 -346 6054 4391 1315 3639 11528 17202 13355 2222 -7030 -9775 -7666 -6303 -9640 -13759 -12170 -3753 4169 5019 1914 1754 6349 10444 7737 710 -2594 -1663 -1014 -2108 -4936 -5875 -2330 1881 2874 12 -3027 -2662 -1053 -2449 -6317 -8091 -5991 -3161 -3783 -6605 -6330 -2677 203 825 1115 1991 3115 4937 7179 8677 9113 7921 5876 5070 4878 2502 -2767 -7220 -7001 -3679 -2229 -3145 -2697 774 5288 6568 2996 30 616 324 -1103 -5343 -10993 -9141 -3792 -1690 -4638 -7213 -690 7534 6282
