key,touch,hit,release
a,1939 1846 -251 -1260 -502 854 1893 508 -1576 -1356 98 1140 1521 786 -706 -762 260 77 -582 -223 380 -5 -762 -762 -171 348 629 220 -834 -698 407 619 280 -169 -731 -637 507 1107 -39 -1050 -910 -248 719 1195 442 -843 -1062 -39 860 992 236 -986 -1159 -170 560 709 333 -614 -1027 -240 625 608 -171 -1027 -1207 -646 217 551 -162 -983 -987 -183 884 1193 455 -612 -1079 -563 426 1116 673 -706 -1395 -744 290 821 385 -765 -1445 -937 277 895 249 -795 -1165 -441 688 873 -143 -1214 -1159 -196 569 485 -294 -904 -717 9 562 251 -659 -1010 -371 542 931 542 -272 -676 -260 476 832 427 -320 -628 -375 84 256 -63 -490 -755 -708 -229 126 -15 -318 -582 -565 -158 190 243 78 -99 -146 -161 -117 -63 -63 -13 -22 -86 -147 -306 -309 -55 99 128 33 -178 -115 97 165 210 86 -204 -298 -128 234 369 -63 -437 -505 -311 253 448 7 -445,-20 -461 -805 -952 -931 -1071 -1440 -1447 -994 -288 561 1171 1361 1539 1581 1242 881 281 -562 -1579 -2693 -3144 -2777 -1827 -893 -565 -503 28 1254 2466 3218 3428 2973 2348 1723 782 -282 -1262 -1922 -2127 -2173 -1994 -1506 -728 110 208 -410 -1088 -1533 -1371 -863 -771 -1257 -2258 -3029 -2535 -1324 -390 53 21 -1 521 1327 1854 1936 1562 964 616 613 982 1436 1644 1824 1788 1565 1411 1201 1195 1317 1023 376 -375 -1202 -1725 -1978 -2482 -2971 -3512 -4114 -3889 -3436 -3030 -2000 -1368 -1209 -776 -601 -537 174 956 1190 1513 2072 2550 2960 3441 3559 2811 2131 1651 1009 985 869 -335 -1534 -1749 -1624 -1802 -2097 -2168 -1790 -1144 -673 -663 -508 -3 241 347 173 2 155 531 867 809 996 979 1168 1841 1724 1418 967 381 245 354 396 303 206 -172 -148 225 278 342 55 -380 -570 -964 -1408 -1496 -1672 -2030 -2077 -1982 -1796 -1541 -1302 -800 -296 21 389 560 666 937 1096 1331 1614 1744,-1209 -776 -601 -537 174 956 1190 1513 2072 2550 2960 3441 3559 2811 2131 1651 1009 985 869 -335 -1534 -1749 -1624 -1802 -2097 -2168 -1790 -1144 -673 -663 -508 -3 241 347 173 2 155 531 867 809 996 979 1168 1841 1724 1418 967 381 245 354 396 303 206 -172 -148 225 278 342 55 -380 -570 -964 -1408 -1496 -1672 -2030 -2077 -1982 -1796 -1541 -1302 -800 -296 21 389 560 666 937 1096 1331 1614 1744 1864 1871 1848 1900 1984 2169 2258 2167 1976 1666 1394 1206 787 194 -129 -242 -281 -213 -185 -252 -219 47 139 -91 -221 -202 -333 -602 -705 -753 -813 -584 -183 54 169 420 731 950 1118 1132 961 795 743 662 514 425 350 376 510 513 458 471 523 598 552 385 369 497 525 436 289 281 488 601 520 387 407 608 719 640 508 354 209 114 -17 -77 -65 -96 -117 -206 -254 -191 -151 -103 -21 120 301 420 463 442 420 499 591 572
a,63 -592 -1124 -1244 -1126 -1279 -1560 -1437 -808 206 1241 1799 1971 2116 1990 1606 1100 198 -1030 -2506 -3675 -3797 -3038 -1894 -928 -433 -117 737 2329 3748 4431 4396 3621 2623 1754 664 -853 -2450 -3380 -3726 -3700 -2816 -1616 -645 163 311 -26 -318 -677 -929 -1080 -1375 -1760 -2408 -2774 -2163 -1288 -626 -39 220 439 1088 1726 2134 2347 1872 968 301 33 282 689 865 821 620 508 574 710 829 796 512 77 -410 -946 -1429 -1928 -2549 -3091 -3453 -3612 -3376 -2873 -2339 -1859 -1515 -1134 -832 -738 -548 -333 -57 414 871 1355 1992 2614 3000 2957 2478 1901 1344 784 388 -69 -888 -1811 -2351 -2563 -2623 -2401 -2237 -2093 -1681 -1305 -811 -106 580 1125 1131 779 631 746 1143 1452 1318 1191 1180 1115 1046 870 533 12 -486 -859 -1035 -965 -980 -739 -433 -649 -454 72 -289 -757 -754 -1293 -1643 -1373 -1682 -2093 -2027 -2007 -1979 -1535 -837 -438 -368 -150 194 316 617 817 544 664 673 132 70,-738 -548 -333 -57 414 871 1355 1992 2614 3000 2957 2478 1901 1344 784 388 -69 -888 -1811 -2351 -2563 -2623 -2401 -2237 -2093 -1681 -1305 -811 -106 580 1125 1131 779 631 746 1143 1452 1318 1191 1180 1115 1046 870 533 12 -486 -859 -1035 -965 -980 -739 -433 -649 -454 72 -289 -757 -754 -1293 -1643 -1373 -1682 -2093 -2027 -2007 -1979 -1535 -837 -438 -368 -150 194 316 617 817 544 664 673 132 70 504 976 1383 1383 1175 1468 2000 2307 2442 2283 1842 1329 979 579 1 -150 -288 -904 -1078 -803 -606 -340 -319 -567 -619 -533 -446 -413 -737 -1087 -909 -636 -495 -392 -329 0 354 390 323 165 9 169 310 120 -48 -97 32 406 830 1131 1094 904 912 1069 1195 1232 1051 609 310 252 220 219 116 -107 -244 -246 -133 78 258 171 -143 -298 -258 -297 -415 -523 -625 -626 -526 -506 -577 -558 -359 -109 -33 -22 181 471 677 732 595 452 507 640 635 448,767 849 892 919 956 1036 1119 1138 1121 1081 1036 1012 977 916 846 781 749 750 753 746 740 745 785 847 883 905 929 966 1022 1079 1120 1121 1128 1142 1164 1208 1170 1088 1061 1077 1114 1116 1070 1006 982 1016 1071 1097 1048 993 987 1020 1079 1099 1057 1005 986 1036 1119 1147 1116 1082 1091 1150 1196 1200 1175 1124 1126 1168 1173 1168 1136 1093 1094 1123 1142 1139 1129 1116 1121 1153 1188 1205 1197 1201 1229 1251 1278 1277 1236 1222 1228 1224 1209 1171 1111 1070 1065 1069 1064 1033 988 955 958 989 1005 993 949 908 920 952 960 923 865 863 900 898 879 873 850 851 877 883 892 875 878 918 915 893 866 850 866 893 884 830 786 751 726 721 701 675 631 578 570 575 576 569 504 450 464 519 579 577 526 497 521 602 685 693 639 612 654 729 769 733 665 617 617 656 649 583 514 469 471 498
a,7 84 65 -21 -99 -70 40 80 19 -85 -131 -83 -4 78 85 -19 -85 5 92 116 77 -42 -95 -36 65 44 -61 -116 -116 -1 59 30 -4 -76 14 73 -98 -102 55 62 43 14 -159 -222 -94 10 46 3 -113 -175 -137 -18 117 25 -116 -90 -73 -46 -161 -428 -539 -592 -742 -779 -581 -235 222 544 659 805 985 996 779 408 -93 -625 -1260 -1832 -1958 -1646 -1085 -607 -444 -403 50 874 1654 2290 2372 1941 1580 1347 987 289 -748 -1633 -1900 -1734 -1366 -1013 -853 -762 -793 -808 -493 -94 135 315 309 34 -282 -524 -446 -181 -244 -524 -740 -813 -568 -192 -92 -115 -54 20 168 506 924 1226 1448 1551 1465 1359 1350 1307 985 465 31 -314 -557 -705 -1018 -1502 -1868 -2015 -1993 -1826 -1576 -1287 -988 -688 -355 -14 284 474 547 560 572 715 938 1127 1194 1073 932 797 548 258 32 -144 -294 -422 -564 -678 -675 -515 -354 -345,-355 -14 284 474 547 560 572 715 938 1127 1194 1073 932 797 548 258 32 -144 -294 -422 -564 -678 -675 -515 -354 -345 -265 -60 121 369 568 635 724 772 709 578 439 371 364 391 449 505 549 639 639 452 243 81 -4 31 133 239 327 413 508 594 606 534 403 222 16 -254 -524 -691 -760 -758 -793 -835 -770 -588 -368 -204 -68 39 123 241 394 530 645 762 842 934 1065 1158 1212 1232 1252 1313 1348 1321 1284 1234 1136 1004 853 670 508 432 429 512 591 564 474 377 327 295 190 15 -150 -268 -313 -276 -261 -266 -157 55 288 476 579 630 692 798 866 832 769 739 766 843 843 722 640 686 797 884 858 695 570 656 839 925 870 758 688 716 807 787 616 433 337 371 457 478 383 217 101 94 161 261 319 257 202 259 353 411 349 278 321 406 513 559 507 501 550 560 537 495,327 295 190 15 -150 -268 -313 -276 -261 -266 -157 55 288 476 579 630 692 798 866 832 769 739 766 843 843 722 640 686 797 884 858 695 570 656 839 925 870 758 688 716 807 787 616 433 337 371 457 478 383 217 101 94 161 261 319 257 202 259 353 411 349 278 321 406 513 559 507 501 550 560 537 495 415 344 302 270 242 185 169 254 409 616 759 830 937 1018 1060 1117 1133 1064 968 890 803 698 600 496 353 214 104 -6 -125 -259 -385 -464 -514 -512 -443 -392 -363 -331 -278 -177 -88 -18 94 239 337 368 394 435 457 444 383 305 260 232 194 109 -5 -76 -96 -93 -109 -158 -183 -152 -100 -66 -51 -29 21 73 98 89 47 8 -5 -38 -113 -183 -239 -287 -323 -371 -409 -420 -416 -401 -370 -319 -248 -185 -134 -89 -44 30 87 78 50 1 -45 -65 -115 -173 -211 -240
